drug1,drug2,side_effect,PRR
mercaptopurine,"insulin, aspart, human",Gastrointestinal haemorrhage,20.0
dichloralphenazone,montelukast,Erythema,20.0
calcium carbonate,canakinumab,Pyrexia,20.0
atovaquone,clofarabine,Blood creatinine increased,20.0
diphenidol,clopidogrel,Fall,20.0
lorcaserin,simvastatin,Heart rate increased,20.0
simeprevir,gabapentin,Neuropathy peripheral,20.0
dolasetron,mesna,Cardiomegaly,20.0
vancomycin,levocarnitine,Oedema,20.0
pazopanib,trametinib,Vomiting,20.0
mometasone,rivastigmine,Hallucination,20.0
uracil,dexamethasone,Hyponatraemia,20.0
adenosine,atorvastatin,Hypoglycaemia,20.0
memantine,etodolac,Arthralgia,20.0
cefixime,ketoprofen,Neutropenia,20.0
chlorocresol,amitriptyline,Pain in extremity,20.0
"sennosides, usp",imatinib,Abdominal pain,20.0
candesartan,thyroid (usp),Epistaxis,20.0
trimethobenzamide,digoxin,Injury,20.0
adenosine,clonidine,Oedema peripheral,20.0
folic acid,imiglucerase,Hypertension,20.0
ganciclovir,azacitidine,Pneumonia,20.0
aztreonam,methotrexate,White blood cell count decreased,20.0
oxycodone,clobazam,Aggression,20.0
flavoxate,nifedipine,Hypokalaemia,20.0
cetirizine,glatiramer,Hypoaesthesia,20.0
escitalopram,dipyrone,Ascites,20.0
pioglitazone,flunitrazepam,Urinary retention,20.0
dimenhydrinate,interferon beta-1a,Crying,20.0
azathioprine,urapidil,Blood creatinine increased,20.0
lanthanum carbonate,vitamin d,Sepsis,20.0
alprostadil,dobutamine,Acidosis,20.0
methadone,glycerin,Breast cancer,20.0
potassium,clobetasol,Drug effect decreased,20.0
etanercept,ciclopirox,Myocardial infarction,20.0
ropinirole,atomoxetine,Agitation,20.0
sorbitol,calcium chloride,Constipation,20.0
ferrous sulfate,fluvastatin,Gastrooesophageal reflux disease,20.0
glimepiride,buflomedil,Mucosal inflammation,20.0
acarbose,aliskiren,Angioedema,20.0
tadalafil,hydroxyurea,Respiratory failure,20.0
losartan,lactitol,Rhabdomyolysis,20.0
potassium iodide,methimazole,Ovarian cyst,20.0
cefazolin,adalimumab,Impaired healing,20.0
tamsulosin,cranberry preparation,Drug dose omission,20.0
glimepiride,clotiazepam,Completed suicide,20.0
simvastatin,obinutuzumab,Sepsis,20.0
ceftriaxone,dexketoprofen,Drug interaction,20.0
galsulfase,carvedilol,Hypotension,20.0
temozolomide,lacosamide,White blood cell count decreased,20.0
fentanyl,mivacurium,Asthenia,20.0
oxacillin,methotrexate,Pyrexia,20.0
pimobendan,dopamine,White blood cell count decreased,20.0
mosapride,methotrexate,Interstitial lung disease,20.0
piperacillin,dapsone,Pneumonia,20.0
aspirin,calcium aspartate,Hepatic function abnormal,20.0
ascorbic acid,arginine,Pollakiuria,20.0
aluminum hydroxide,sodium chloride,Nephrotic syndrome,20.0
alprostadil,nitroglycerin,Ejection fraction decreased,20.0
fexofenadine,efalizumab,Influenza like illness,20.0
ferrous sulfate,darifenacin,Hypophagia,20.0
ginkgo biloba extract,carvedilol,Fluid retention,20.0
hydrochlorothiazide,mefloquine,Bradycardia,20.0
propionate,rosuvastatin,Erythema,20.0
ergocalciferol,triamcinolone,Chronic obstructive pulmonary disease,20.0
nizatidine,pravastatin,Dyspepsia,20.0
everolimus,clobetasol,Flatulence,20.0
risperidone,ticlopidine,Hypotension,20.0
acarbose,cilostazol,Hepatic enzyme increased,20.0
apixaban,loratadine,Fall,20.0
moxonidine,formoterol,Transient ischaemic attack,20.0
vitamin b6,dicyclomine,Arthritis,20.0
melphalan,isosorbide,Hyponatraemia,20.0
cyanocobalamin co57,triamterene,Malaise,20.0
tocilizumab,triamcinolone,Haematochezia,20.0
flunisolide,vitamin e,Palpitations,20.0
vemurafenib,dipyrone,Hepatic enzyme increased,20.0
metaraminol,aspirin,Caesarean section,20.0
dihydrocodeine,methylprednisolone,Disease progression,20.0
levocetirizine,carvedilol,Peripheral vascular disorder,20.0
albuterol,potassium bicarbonate,Chronic obstructive pulmonary disease,20.0
loteprednol etabonate,ketorolac,Chest pain,20.0
tretinoin,vitamin d,Urinary tract infection,20.0
salicylic acid,valproate,Drug withdrawal syndrome,20.0
basiliximab,micafungin,Pleural effusion,20.0
vitamin a,golimumab,Nasopharyngitis,20.0
pyridoxal,cyclophosphamide,Cough,20.0
arginine,phenylbutyrate,Lethargy,20.0
lamotrigine,itraconazole,Weight decreased,20.0
glipizide,ticlopidine,Transient ischaemic attack,20.0
lenalidomide,flecainide,Multiple myeloma,20.0
albuterol,varicella-zoster virus vaccine live (oka-merck) strain,Arthritis,20.0
certoparin,rituximab,General physical health deterioration,20.0
famotidine,pergolide,Pneumonia aspiration,20.0
alfacalcidol,eculizumab,Renal impairment,20.0
alemtuzumab,codeine,Graft versus host disease,20.0
niacin,leucovorin,Thrombosis,20.0
ipratropium,zinc oxide,Pneumonia,20.0
repaglinide,nefopam,Anuria,20.0
propoxyphene,cyproheptadine,Multiple sclerosis,20.0
fluoxetine,floxacillin,Toxic epidermal necrolysis,20.0
risperidone,prazepam,Agranulocytosis,20.0
lormetazepam,lenalidomide,Hypokalaemia,20.0
obinutuzumab,levofloxacin,Neutropenia,20.0
metoprolol,coumarin,Loss of consciousness,20.0
docusate,naltrexone,Lethargy,20.0
temozolomide,amitriptyline,Abdominal pain,20.0
ascorbic acid,azathioprine,Cholecystitis,20.0
cyclosporine,standardized senna concentrate,Dehydration,20.0
ethyl loflazepate,fexofenadine,Erythema,20.0
turmeric oil,celecoxib,Electrolyte imbalance,20.0
infliximab,nabilone,Arthritis,20.0
oseltamivir,acetylcysteine,Renal impairment,20.0
oxaliplatin,tacrolimus,Jaundice,20.0
nicardipine,teriparatide,Femur fracture,20.0
ifosfamide,atenolol,Asthenia,20.0
quetiapine,dimethyl fumarate,Flatulence,20.0
metformin,azosemide,Blood creatine phosphokinase increased,20.0
oxycodone,canagliflozin,Pain in extremity,20.0
idarubicin,aztreonam,Pulmonary oedema,20.0
moxifloxacin,itraconazole,Respiratory disorder,20.0
fenoterol,beclomethasone,Cough,20.0
remifentanil,ketorolac,Heart rate decreased,20.0
valsartan,saw palmetto extract,Palpitations,20.0
insulin detemir,loxoprofen,Drug eruption,20.0
daunorubicin,pravastatin,Epistaxis,20.0
levetiracetam,raloxifene,Weight increased,20.0
selegiline,ziprasidone,Drug interaction,20.0
potassium,bifidobacterium infantis,Crohn's disease,20.0
lactobacillus casei rhamnosus,alendronate,Blood creatinine increased,20.0
tocilizumab,pilocarpine,Influenza,20.0
cisplatin,alizapride,Hypokalaemia,20.0
acetazolamide,domperidone,Gamma-glutamyltransferase increased,20.0
loratadine,chloramphenicol,Condition aggravated,20.0
spironolactone,panthenol,Toxic epidermal necrolysis,20.0
hydrochlorothiazide,etonogestrel,Device expulsion,20.0
darunavir,fexofenadine,Blister,20.0
ergocalciferol,cholecalciferol,Febrile neutropenia,20.0
eletriptan,acyclovir,Anxiety,20.0
folic acid,trimeprazine,Coagulopathy,20.0
fentanyl,ruxolitinib,Cardiac failure,20.0
oxazepam,molsidomine,Hypokalaemia,20.0
rituximab,methimazole,Pleurisy,20.0
calcipotriene,escitalopram,Arthralgia,20.0
metaraminol,chlorhexidine,Liver function test abnormal,20.0
diazepam,clotiazepam,Hepatic steatosis,20.0
raloxifene,loxoprofen,Cardiac failure acute,20.0
"albumin human, usp",everolimus,Alanine aminotransferase increased,20.0
memantine,propranolol,Confusional state,20.0
cefazolin,psyllium,Erythema,20.0
duloxetine,indacaterol,Pain in extremity,20.0
lovastatin,glatiramer,Urinary tract infection,20.0
hydrocortisone,golimumab,Basal cell carcinoma,20.0
magnesium oxide,ketamine,Malignant neoplasm progression,20.0
fexofenadine,fludrocortisone,Oral pain,20.0
metronidazole,rivaroxaban,Haemorrhage,20.0
magnesium salicylate,potassium chloride,Insomnia,20.0
biotin,pregabalin,Spinal fracture,20.0
nortriptyline,omega-3 fatty acids,Psoriasis,20.0
abacavir,clotrimazole,Anaemia,20.0
niacin,paricalcitol,Muscular weakness,20.0
glimepiride,tetracycline,Hypertension,20.0
polysaccharide iron complex,meloxicam,Myocardial infarction,20.0
venlafaxine,sodium selenate,Drug dose omission,20.0
imatinib,metolazone,Pulmonary hypertension,20.0
cyclobenzaprine,dasatinib,Myositis,20.0
fosfomycin,linezolid,Pancytopenia,20.0
cortisone,heparin,Panic attack,20.0
lamotrigine,letrozole,Metastases to central nervous system,20.0
eprosartan,omeprazole,Septic shock,20.0
ethyl loflazepate,warfarin,Cerebral infarction,20.0
midazolam,ipilimumab,Renal failure,20.0
pazopanib,prednisone,Heart rate irregular,20.0
fluorometholone,pregabalin,Anxiety,20.0
formoterol,dextroamphetamine,Chronic obstructive pulmonary disease,20.0
lornoxicam,meloxicam,Pyrexia,20.0
phentermine,rosuvastatin,Epistaxis,20.0
venlafaxine,placebo,Confusional state,20.0
fenoterol,indacaterol,Oxygen saturation decreased,20.0
glucose,dutasteride,Hypotension,20.0
ziconotide,cyclobenzaprine,Hallucination,20.0
vitamin b 12,piroxicam,Weight decreased,20.0
metaproterenol,isoniazid,Lymphadenopathy,20.0
tazarotene,isotretinoin,Gastrointestinal disorder,20.0
rabeprazole,axitinib,Epistaxis,20.0
tolmetin,etanercept,Vomiting,20.0
levonorgestrel,temazepam,Emotional distress,20.0
simethicone,gabapentin,Caesarean section,20.0
venlafaxine,ketamine,Condition aggravated,20.0
capecitabine,acarbose,Blood glucose increased,20.0
calcipotriene,spironolactone,Agitation,20.0
hydrochlorothiazide,paliperidone,Hypokalaemia,20.0
amantadine,tiotropium,Renal failure acute,20.0
erythromycin,interferon beta-1a,Depression,20.0
pramoxine,diazepam,Tremor,20.0
c1 esterase inhibitor,atorvastatin,Peripheral swelling,20.0
aspirin,rho(d) immune globulin,Renal failure,20.0
glipizide,mitoxantrone,Staphylococcal bacteraemia,20.0
neomycin,carbamazepine,Depression,20.0
pentazocine,topiramate,Type 2 diabetes mellitus,20.0
ascorbic acid,methadone,Bronchitis,20.0
dipyridamole,meloxicam,Hypoaesthesia,20.0
vitamin b complex,escitalopram,Hypophagia,20.0
ciprofloxacin,vidarabine,Neutropenia,20.0
hydrocortisone,fenoterol,General physical health deterioration,20.0
icosapent ethyl,carbocysteine,Platelet count decreased,20.0
oxygen,mupirocin,Medication error,20.0
hydrocodone,rotigotine,Renal disorder,20.0
methenamine,dimethyl fumarate,Pollakiuria,20.0
sertraline,itraconazole,Alanine aminotransferase increased,20.0
mercaptopurine,spironolactone,Ventricular extrasystoles,20.0
galantamine,amoxicillin,General physical health deterioration,20.0
cyclophosphamide,epoprostenol,Septic shock,20.0
azathioprine,bortezomib,Urinary tract infection,20.0
valsartan,tofacitinib,Myocardial ischaemia,20.0
fluocinolone,cetirizine,Abdominal pain,20.0
heparin,menatetrenone,Depressed level of consciousness,20.0
spironolactone,niacinamide,Emotional distress,20.0
acetate,tiotropium,Confusional state,20.0
prasugrel,levofloxacin,Haemorrhage,20.0
potassium acetate,varenicline,Chest pain,20.0
zolpidem,mefloquine,Diabetes mellitus,20.0
risedronate,vitamin b6,Oropharyngeal pain,20.0
vilazodone,verapamil,Fall,20.0
cranberry preparation,naproxen,Hot flush,20.0
bendamustine,epoetin alfa,Osteonecrosis,20.0
vitamin b6,zonisamide,Convulsion,20.0
micafungin,epoetin alfa,Renal failure,20.0
colistin,prednisone,Cardiac arrest,20.0
lacosamide,methylphenidate,Balance disorder,20.0
vitamin a,ursodeoxycholate,Bone pain,20.0
distigmine,insulin glargine,Hypophagia,20.0
eletriptan,adalimumab,Crohn's disease,20.0
iron-dextran complex,omeprazole,Gait disturbance,20.0
gentamicin,pegfilgrastim,Hypomagnesaemia,20.0
pemetrexed,insulin glargine,Anaemia,20.0
betamethasone,carbazochrome,Dry skin,20.0
duloxetine,iodine,Weight decreased,20.0
oxitropium,furosemide,Epilepsy,20.0
rasagiline,torsemide,Hypertension,20.0
ibandronate,psyllium,Gastrooesophageal reflux disease,20.0
buprenorphine,estazolam,Fear,20.0
tolmetin,aspirin,Arthralgia,20.0
phentermine,nitroglycerin,Myocardial infarction,20.0
triazolam,itraconazole,Drug interaction,20.0
interferon beta-1b,botulinum toxin type a,Cerebrovascular accident,20.0
aluminum hydroxide,adalimumab,Hospitalisation,20.0
sulindac,varenicline,Influenza like illness,20.0
ethinyl estradiol,voriconazole,Tremor,20.0
droperidol,citalopram,Injury,20.0
oseltamivir,ganciclovir,Respiratory failure,20.0
teriparatide,omalizumab,Malaise,20.0
morphine,deoxycholate,Hypertension,20.0
lidocaine,eculizumab,Nasopharyngitis,20.0
hydrochlorothiazide,penciclovir,Dehydration,20.0
dalteparin,alprostadil,Abdominal distension,20.0
zolmitriptan,zopiclone,Mood altered,20.0
cyproterone,amiodarone,General physical health deterioration,20.0
azathioprine,mebeverine,Condition aggravated,20.0
hydrochlorothiazide,emtricitabine,Renal failure,20.0
polyethylene glycol 3350,indomethacin,Agitation,20.0
diclofenac,xylometazoline,Diarrhoea,20.0
enzalutamide,trazodone,Abdominal discomfort,20.0
estradiol,dipyridamole,Surgery,20.0
albuterol,bezafibrate,Nasal congestion,20.0
bromhexine,cilostazol,Pneumonia,20.0
teriparatide,"estrogens, esterified (usp)",Arthralgia,20.0
clozapine,primidone,Somnolence,20.0
prednisolone,quazepam,Osteonecrosis,20.0
calcium carbonate,clomipramine,Drug exposure during pregnancy,20.0
prednisolone,cloxazolam,Drug interaction,20.0
polyethylene glycol 400,allopurinol,Renal failure,20.0
clonazepam,carboxymethylcellulose,Weight increased,20.0
iron,ganciclovir,Urinary tract infection,20.0
folic acid,saw palmetto extract,Subdural haematoma,20.0
amlodipine,pindolol,Myalgia,20.0
triazolam,methoxy polyethylene glycol-epoetin beta,Hypertension,20.0
ramelteon,methylphenidate,Muscle spasms,20.0
galantamine,standardized senna concentrate,Cerebrovascular accident,20.0
alemtuzumab,cidofovir,Platelet count decreased,20.0
moxonidine,valproate,Epilepsy,20.0
certolizumab pegol,carvedilol,Frequent bowel movements,20.0
aspirin,"influenza b virus vaccine, b-massachusetts-2-2012-like virus",Hypertension,20.0
tizanidine,pitavastatin,Back pain,20.0
olmesartan,romiplostim,Chills,20.0
bifidobacterium lactis,itraconazole,Cardiac failure congestive,20.0
calcium carbonate,alginic acid,Mental impairment,20.0
ipratropium,fingolimod,Chronic obstructive pulmonary disease,20.0
citalopram,piroxicam,Urinary retention,20.0
etodolac,epinastine,Sepsis,20.0
atropine,quinapril,Cardiomegaly,20.0
lamotrigine,maprotiline,Erythema,20.0
tocilizumab,minocycline,Skin ulcer,20.0
domperidone,mexiletine,Hepatic function abnormal,20.0
nizatidine,doxycycline,Insomnia,20.0
selegiline,magnesium,Depression,20.0
telaprevir,miconazole,Stevens-Johnson syndrome,20.0
bortezomib,valganciclovir,Deep vein thrombosis,20.0
orphenadrine,diltiazem,Tricuspid valve incompetence,20.0
prednisolone,trifluoperazine,Flushing,20.0
acetaminophen,thiethylperazine,Osteoarthritis,20.0
aripiprazole,testosterone,Blood cholesterol increased,20.0
quinine,magnesium sulfate,Cellulitis,20.0
tacrolimus,cefaclor,Aspartate aminotransferase increased,20.0
repaglinide,linagliptin,Jaundice,20.0
solifenacin,theophylline,Joint swelling,20.0
midazolam,lormetazepam,Toxic epidermal necrolysis,20.0
cetirizine,azelate,Weight increased,20.0
azithromycin,aluminum hydroxide,Platelet count decreased,20.0
fludrocortisone,theophylline,Dehydration,20.0
sulfasalazine,oxygen,Hypoxia,20.0
terbutaline,metoprolol,Ventricular tachycardia,20.0
buprenorphine,lactate,Leukopenia,20.0
rifaximin,fluconazole,Hospitalisation,20.0
aluminum hydroxide,magnesium oxide,Respiratory failure,20.0
linseed oil,pravastatin,Memory impairment,20.0
menthol,loratadine,Drug abuse,20.0
digoxin,malathion,Cardiac failure congestive,20.0
hydrocortisone,cefaclor,Renal impairment,20.0
menthol,lenalidomide,Rash pruritic,20.0
tamsulosin,calcium polycarbophil,Burning sensation,20.0
albuterol,acrivastine,Dysphagia,20.0
felodipine,mebeverine,Overdose,20.0
enalapril,amphotericin b,Pulmonary embolism,20.0
hydrocortisone,raltegravir,Hypoglycaemia,20.0
levodopa,tegaserod,Convulsion,20.0
vinblastine,thalidomide,Dehydration,20.0
mometasone,cod liver oil,Condition aggravated,20.0
nortriptyline,abatacept,Pruritus,20.0
alfacalcidol,amikacin,Condition aggravated,20.0
phenobarbital,diltiazem,Chronic obstructive pulmonary disease,20.0
cefazolin,formoterol,Constipation,20.0
"cinnamon oil, leaf",formoterol,Drug dose omission,20.0
methylprednisolone,azosemide,Platelet count decreased,20.0
lorazepam,maraviroc,Palpitations,20.0
furosemide,ginko biloba leaf oil,Chronic obstructive pulmonary disease,20.0
pentosan polysulfate,amitriptyline,Sleep disorder,20.0
anastrozole,bromazepam,Constipation,20.0
fenofibrate,axitinib,Dysphonia,20.0
erlotinib,clotrimazole,Dehydration,20.0
pantoprazole,cuprous oxide,Multi-organ failure,20.0
acetaminophen,pentostatin,Confusional state,20.0
estradiol,pyridoxine,Somnolence,20.0
thiamine,ampicillin,Hypoxia,20.0
mecobalamin,alprostadil,Dehydration,20.0
warfarin,posaconazole,Neutropenia,20.0
bisacodyl,octreotide,Fall,20.0
diosmin,rabeprazole,General physical health deterioration,20.0
sulfasalazine,lercanidipine,Pneumonia,20.0
bumetanide,isradipine,Hypertension,20.0
ustekinumab,sitagliptin,Off label use,20.0
pantoprazole,saccharomyces boulardii,General physical health deterioration,20.0
metaproterenol,doxazosin,Tremor,20.0
triamterene,calcitriol,Pancytopenia,20.0
thyroid (usp),cimetidine,Heart rate irregular,20.0
tacrolimus,denosumab,Malignant neoplasm progression,20.0
teriparatide,pentosan polysulfate,Arthralgia,20.0
morphine,pizotyline,Hepatitis,20.0
telaprevir,carbamazepine,Leukopenia,20.0
dobutamine,tiotropium,Dehydration,20.0
perindopril,epoetin alfa,General physical health deterioration,20.0
pregabalin,hydroquinone,Drug withdrawal syndrome,20.0
fosinopril,anastrozole,Osteonecrosis of jaw,20.0
diphenhydramine,tofacitinib,Pollakiuria,20.0
nilotinib,doxycycline,Abdominal pain,20.0
amiloride,tamoxifen,Tachycardia,20.0
diphenoxylate,torsemide,Constipation,20.0
losartan,ethambutol,Myocardial infarction,20.0
glucose,fexofenadine,Neutrophil count decreased,20.0
pseudoephedrine,doxazosin,Femur fracture,20.0
triamterene,tamoxifen,Pulmonary embolism,20.0
rosiglitazone,zinc,Asthenia,20.0
dornase alfa,metoclopramide,Convulsion,20.0
amlodipine,mitomycin,Renal failure acute,20.0
bendroflumethiazide,carbazochrome,Sepsis,20.0
benzoyl peroxide,fluorouracil,Sepsis,20.0
minocycline,cefpirome,Neutropenia,20.0
risedronate,colesevelam,Alopecia,20.0
ibuprofen,bifidobacterium infantis,Somnolence,20.0
rivaroxaban,levalbuterol,Gastrointestinal haemorrhage,20.0
cisplatin,epoetin beta,Blood potassium decreased,20.0
sulfamethoxazole,dexlansoprazole,Nasopharyngitis,20.0
glucose,methoxy polyethylene glycol-epoetin beta,Pyrexia,20.0
norepinephrine,lactate,Hypotension,20.0
losartan,ciprofibrate,Hypotension,20.0
labetalol,sodium oxybate,Heart rate increased,20.0
clotrimazole,sotalol,Mobility decreased,20.0
vitamin k 2,filgrastim,Hypotension,20.0
beta carotene,vitamin d,Vaginal haemorrhage,20.0
gentamicin,oseltamivir,Procedural hypotension,20.0
rosuvastatin,piracetam,Hepatic steatosis,20.0
dexamethasone,telithromycin,Injury,20.0
ginkgo biloba extract,calcium,Dyspepsia,20.0
mecobalamin,ranibizumab,Retinal haemorrhage,20.0
chlorthalidone,ciprofloxacin,Back pain,20.0
dexchlorpheniramine,tiotropium,Oxygen saturation decreased,20.0
metaproterenol,fluorouracil,Renal failure acute,20.0
eprosartan,prednisone,Pulmonary embolism,20.0
pyridoxal,cetirizine,Multi-organ failure,20.0
enoxaparin,triptorelin,Neutropenia,20.0
lisinopril,malathion,Arthralgia,20.0
